TIME;SEX;GEO;AGE;Value
2019;Male;PT: Portugal;Menos de 1 ano;135
2019;Male;PT: Portugal;1 ano;12
2019;Male;PT: Portugal;2 anos;7
2019;Male;PT: Portugal;3 anos;8
2019;Male;PT: Portugal;4 anos;5
2019;Male;PT: Portugal;5 anos;5
2019;Male;PT: Portugal;6 anos;4
2019;Male;PT: Portugal;7 anos;5
2019;Male;PT: Portugal;8 anos;6
2019;Male;PT: Portugal;9 anos;5
2019;Male;PT: Portugal;10 anos;6
2019;Male;PT: Portugal;11 anos;4
2019;Male;PT: Portugal;12 anos;3
2019;Male;PT: Portugal;13 anos;6
2019;Male;PT: Portugal;14 anos;8
2019;Male;PT: Portugal;15 anos;8
2019;Male;PT: Portugal;16 anos;13
2019;Male;PT: Portugal;17 anos;11
2019;Male;PT: Portugal;18 anos;17
2019;Male;PT: Portugal;19 anos;26
2019;Male;PT: Portugal;20 anos;18
2019;Male;PT: Portugal;21 anos;27
2019;Male;PT: Portugal;22 anos;26
2019;Male;PT: Portugal;23 anos;24
2019;Male;PT: Portugal;24 anos;30
2019;Male;PT: Portugal;25 anos;24
2019;Male;PT: Portugal;26 anos;38
2019;Male;PT: Portugal;27 anos;28
2019;Male;PT: Portugal;28 anos;36
2019;Male;PT: Portugal;29 anos;34
2019;Male;PT: Portugal;30 anos;44
2019;Male;PT: Portugal;31 anos;37
2019;Male;PT: Portugal;32 anos;34
2019;Male;PT: Portugal;33 anos;41
2019;Male;PT: Portugal;34 anos;60
2019;Male;PT: Portugal;35 anos;54
2019;Male;PT: Portugal;36 anos;50
2019;Male;PT: Portugal;37 anos;60
2019;Male;PT: Portugal;38 anos;64
2019;Male;PT: Portugal;39 anos;89
2019;Male;PT: Portugal;40 anos;101
2019;Male;PT: Portugal;41 anos;107
2019;Male;PT: Portugal;42 anos;105
2019;Male;PT: Portugal;43 anos;138
2019;Male;PT: Portugal;44 anos;147
2019;Male;PT: Portugal;45 anos;167
2019;Male;PT: Portugal;46 anos;203
2019;Male;PT: Portugal;47 anos;212
2019;Male;PT: Portugal;48 anos;250
2019;Male;PT: Portugal;49 anos;241
2019;Male;PT: Portugal;50 anos;264
2019;Male;PT: Portugal;51 anos;330
2019;Male;PT: Portugal;52 anos;366
2019;Male;PT: Portugal;53 anos;430
2019;Male;PT: Portugal;54 anos;413
2019;Male;PT: Portugal;55 anos;470
2019;Male;PT: Portugal;56 anos;476
2019;Male;PT: Portugal;57 anos;498
2019;Male;PT: Portugal;58 anos;545
2019;Male;PT: Portugal;59 anos;617
2019;Male;PT: Portugal;60 anos;656
2019;Male;PT: Portugal;61 anos;696
2019;Male;PT: Portugal;62 anos;740
2019;Male;PT: Portugal;63 anos;793
2019;Male;PT: Portugal;64 anos;827
2019;Male;PT: Portugal;65 anos;830
2019;Male;PT: Portugal;66 anos;934
2019;Male;PT: Portugal;67 anos;937
2019;Male;PT: Portugal;68 anos;954
2019;Male;PT: Portugal;69 anos;1018
2019;Male;PT: Portugal;70 anos;1155
2019;Male;PT: Portugal;71 anos;1140
2019;Male;PT: Portugal;72 anos;1112
2019;Male;PT: Portugal;73 anos;1213
2019;Male;PT: Portugal;74 anos;1240
2019;Male;PT: Portugal;75 anos;1344
2019;Male;PT: Portugal;76 anos;1412
2019;Male;PT: Portugal;77 anos;1356
2019;Male;PT: Portugal;78 anos;1397
2019;Male;PT: Portugal;79 anos;1623
2019;Male;PT: Portugal;80 anos;1794
2019;Male;PT: Portugal;81 anos;1812
2019;Male;PT: Portugal;82 anos;1967
2019;Male;PT: Portugal;83 anos;2077
2019;Male;PT: Portugal;84 anos;2140
2019;Male;PT: Portugal;85 anos;2059
2019;Male;PT: Portugal;86 anos;2145
2019;Male;PT: Portugal;87 anos;1910
2019;Male;PT: Portugal;88 anos;1812
2019;Male;PT: Portugal;89 anos;1664
2019;Male;PT: Portugal;90 anos;1630
2019;Male;PT: Portugal;91 anos;1273
2019;Male;PT: Portugal;92 anos;1185
2019;Male;PT: Portugal;93 anos;940
2019;Male;PT: Portugal;94 anos;827
2019;Male;PT: Portugal;95 anos;650
2019;Male;PT: Portugal;96 anos;492
2019;Male;PT: Portugal;97 anos;311
2019;Male;PT: Portugal;98 anos;224
2019;Male;PT: Portugal;99 anos;145
2019;Male;PT: Portugal;100 anos;81
2019;Male;PT: Portugal;101 anos;49
2019;Male;PT: Portugal;102 anos;34
2019;Male;PT: Portugal;103 anos;14
2019;Male;PT: Portugal;104 anos;11
2019;Male;PT: Portugal;105 anos;3
2019;Male;PT: Portugal;106 anos;1
2019;Male;PT: Portugal;107 anos;0
2019;Male;PT: Portugal;108 anos;0
2019;Male;PT: Portugal;109 anos;0
2019;Male;PT: Portugal;110 anos;0
2019;Male;PT: Portugal;111 anos;0
2019;Male;PT: Portugal;112 anos;0
2019;Male;PT: Portugal;113 anos;0
