SEX;GEO;TIME;AGE;Value
Male;PT: Portugal;2019;0 anos;44617
Male;PT: Portugal;2019;1 anos;44416
Male;PT: Portugal;2019;2 anos;44359
Male;PT: Portugal;2019;3 anos;45162
Male;PT: Portugal;2019;4 anos;44223
Male;PT: Portugal;2019;5 anos;42992
Male;PT: Portugal;2019;6 anos;42812
Male;PT: Portugal;2019;7 anos;46674
Male;PT: Portugal;2019;8 anos;49613
Male;PT: Portugal;2019;9 anos;50851
Male;PT: Portugal;2019;10 anos;49319
Male;PT: Portugal;2019;11 anos;51702
Male;PT: Portugal;2019;12 anos;50604
Male;PT: Portugal;2019;13 anos;51780
Male;PT: Portugal;2019;14 anos;54353
Male;PT: Portugal;2019;15 anos;53283
Male;PT: Portugal;2019;16 anos;54811
Male;PT: Portugal;2019;17 anos;55401
Male;PT: Portugal;2019;18 anos;55268
Male;PT: Portugal;2019;19 anos;59789
Male;PT: Portugal;2019;20 anos;58079
Male;PT: Portugal;2019;21 anos;56257
Male;PT: Portugal;2019;22 anos;55349
Male;PT: Portugal;2019;23 anos;55105
Male;PT: Portugal;2019;24 anos;54069
Male;PT: Portugal;2019;25 anos;53168
Male;PT: Portugal;2019;26 anos;54491
Male;PT: Portugal;2019;27 anos;54514
Male;PT: Portugal;2019;28 anos;55581
Male;PT: Portugal;2019;29 anos;55322
Male;PT: Portugal;2019;30 anos;54822
Male;PT: Portugal;2019;31 anos;55495
Male;PT: Portugal;2019;32 anos;55259
Male;PT: Portugal;2019;33 anos;55840
Male;PT: Portugal;2019;34 anos;57283
Male;PT: Portugal;2019;35 anos;61084
Male;PT: Portugal;2019;36 anos;62401
Male;PT: Portugal;2019;37 anos;65089
Male;PT: Portugal;2019;38 anos;65730
Male;PT: Portugal;2019;39 anos;68734
Male;PT: Portugal;2019;40 anos;68851
Male;PT: Portugal;2019;41 anos;70695
Male;PT: Portugal;2019;42 anos;77037
Male;PT: Portugal;2019;43 anos;78475
