"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1990","Less than 1 year","Number","58,687",""
"Males","Portugal","1990","1 year","Number","57,114",""
"Males","Portugal","1990","2 years","Number","57,869",""
"Males","Portugal","1990","3 years","Number","59,148",""
"Males","Portugal","1990","4 years","Number","62,207",""
"Males","Portugal","1990","5 years","Number","66,131",""
"Males","Portugal","1990","6 years","Number","68,206",""
"Males","Portugal","1990","7 years","Number","71,104",""
"Males","Portugal","1990","8 years","Number","72,389",""
"Males","Portugal","1990","9 years","Number","75,078",""
"Males","Portugal","1990","10 years","Number","77,632",""
"Males","Portugal","1990","11 years","Number","78,518",""
"Males","Portugal","1990","12 years","Number","83,251",""
"Males","Portugal","1990","13 years","Number","87,945",""
"Males","Portugal","1990","14 years","Number","89,692",""
"Males","Portugal","1990","15 years","Number","87,495",""
"Males","Portugal","1990","16 years","Number","85,843",""
"Males","Portugal","1990","17 years","Number","86,223",""
"Males","Portugal","1990","18 years","Number","84,374",""
"Males","Portugal","1990","19 years","Number","83,406",""
"Males","Portugal","1990","20 years","Number","80,503",""
"Males","Portugal","1990","21 years","Number","79,098",""
"Males","Portugal","1990","22 years","Number","77,759",""
"Males","Portugal","1990","23 years","Number","77,524",""
"Males","Portugal","1990","24 years","Number","76,755",""
"Males","Portugal","1990","25 years","Number","76,464",""
"Males","Portugal","1990","26 years","Number","75,104",""
"Males","Portugal","1990","27 years","Number","73,750",""
"Males","Portugal","1990","28 years","Number","73,130",""
"Males","Portugal","1990","29 years","Number","74,028",""
"Males","Portugal","1990","30 years","Number","70,864",""
"Males","Portugal","1990","31 years","Number","69,904",""
"Males","Portugal","1990","32 years","Number","70,370",""
"Males","Portugal","1990","33 years","Number","66,073",""
"Males","Portugal","1990","34 years","Number","67,343",""
"Males","Portugal","1990","35 years","Number","66,452",""
"Males","Portugal","1990","36 years","Number","63,720",""
"Males","Portugal","1990","37 years","Number","64,650",""
"Males","Portugal","1990","38 years","Number","64,393",""
"Males","Portugal","1990","39 years","Number","65,231",""
"Males","Portugal","1990","40 years","Number","63,761",""
"Males","Portugal","1990","41 years","Number","64,280",""
"Males","Portugal","1990","42 years","Number","59,643",""
"Males","Portugal","1990","43 years","Number","56,591",""
"Males","Portugal","1990","44 years","Number","59,644",""
"Males","Portugal","1990","45 years","Number","55,863",""
"Males","Portugal","1990","46 years","Number","54,728",""
"Males","Portugal","1990","47 years","Number","52,904",""
"Males","Portugal","1990","48 years","Number","49,464",""
"Males","Portugal","1990","49 years","Number","52,110",""
