"SEX","GEO","TIME","AGE","UNIT","Value","Flag and Footnotes"
"Males","Portugal","1990","Less than 1 year","Number","732.0",""
"Males","Portugal","1990","1 year","Number","78.0",""
"Males","Portugal","1990","2 years","Number","43.0",""
"Males","Portugal","1990","3 years","Number","49.0",""
"Males","Portugal","1990","4 years","Number","31.0",""
"Males","Portugal","1990","5 years","Number","27.0",""
"Males","Portugal","1990","6 years","Number","26.0",""
"Males","Portugal","1990","7 years","Number","32.0",""
"Males","Portugal","1990","8 years","Number","33.0",""
"Males","Portugal","1990","9 years","Number","29.0",""
"Males","Portugal","1990","10 years","Number","33.0",""
"Males","Portugal","1990","11 years","Number","30.0",""
"Males","Portugal","1990","12 years","Number","39.0",""
"Males","Portugal","1990","13 years","Number","44.0",""
"Males","Portugal","1990","14 years","Number","53.0",""
"Males","Portugal","1990","15 years","Number","64.0",""
"Males","Portugal","1990","16 years","Number","113.0",""
"Males","Portugal","1990","17 years","Number","128.0",""
"Males","Portugal","1990","18 years","Number","142.0",""
"Males","Portugal","1990","19 years","Number","193.0",""
"Males","Portugal","1990","20 years","Number","145.0",""
"Males","Portugal","1990","21 years","Number","149.0",""
"Males","Portugal","1990","22 years","Number","155.0",""
"Males","Portugal","1990","23 years","Number","158.0",""
"Males","Portugal","1990","24 years","Number","150.0",""
"Males","Portugal","1990","25 years","Number","131.0",""
"Males","Portugal","1990","26 years","Number","161.0",""
"Males","Portugal","1990","27 years","Number","119.0",""
"Males","Portugal","1990","28 years","Number","146.0",""
"Males","Portugal","1990","29 years","Number","157.0",""
"Males","Portugal","1990","30 years","Number","159.0",""
"Males","Portugal","1990","31 years","Number","151.0",""
"Males","Portugal","1990","32 years","Number","142.0",""
"Males","Portugal","1990","33 years","Number","143.0",""
"Males","Portugal","1990","34 years","Number","146.0",""
"Males","Portugal","1990","35 years","Number","184.0",""
"Males","Portugal","1990","36 years","Number","152.0",""
"Males","Portugal","1990","37 years","Number","156.0",""
"Males","Portugal","1990","38 years","Number","164.0",""
"Males","Portugal","1990","39 years","Number","190.0",""
"Males","Portugal","1990","40 years","Number","192.0",""
"Males","Portugal","1990","41 years","Number","191.0",""
"Males","Portugal","1990","42 years","Number","213.0",""
"Males","Portugal","1990","43 years","Number","226.0",""
"Males","Portugal","1990","44 years","Number","221.0",""
"Males","Portugal","1990","45 years","Number","234.0",""
"Males","Portugal","1990","46 years","Number","257.0",""
"Males","Portugal","1990","47 years","Number","273.0",""
"Males","Portugal","1990","48 years","Number","232.0",""
"Males","Portugal","1990","49 years","Number","320.0",""
"Males","Portugal","1990","50 years","Number","337.0",""
"Males","Portugal","1990","51 years","Number","373.0",""
"Males","Portugal","1990","52 years","Number","395.0",""
"Males","Portugal","1990","53 years","Number","475.0",""
"Males","Portugal","1990","54 years","Number","520.0",""
"Males","Portugal","1990","55 years","Number","521.0",""
"Males","Portugal","1990","56 years","Number","576.0",""
"Males","Portugal","1990","57 years","Number","652.0",""
"Males","Portugal","1990","58 years","Number","721.0",""
"Males","Portugal","1990","59 years","Number","755.0",""
"Males","Portugal","1990","60 years","Number","771.0",""
"Males","Portugal","1990","61 years","Number","848.0",""
"Males","Portugal","1990","62 years","Number","854.0",""
"Males","Portugal","1990","63 years","Number","997.0",""
"Males","Portugal","1990","64 years","Number","1,070.0",""
"Males","Portugal","1990","65 years","Number","1,189.0",""
"Males","Portugal","1990","66 years","Number","1,167.0",""
"Males","Portugal","1990","67 years","Number","1,217.0",""
"Males","Portugal","1990","68 years","Number","1,253.0",""
"Males","Portugal","1990","69 years","Number","1,324.0",""
"Males","Portugal","1990","70 years","Number","1,329.0",""
"Males","Portugal","1990","71 years","Number","1,162.0",""
"Males","Portugal","1990","72 years","Number","1,339.0",""
"Males","Portugal","1990","73 years","Number","1,444.0",""
